,protein_ac,drug_id
0,Q9NSY1,DB00317
2,P53667,DB07138
3,Q9Y4K4,DB05424
8,P06213,DB00619
9,Q05397,DB05294
13,Q06187,DB00317
14,Q06187,DB05294
17,P06239,DB00317
25,P00519,DB02010
26,Q13557,DB00619
27,Q9NQU5,DB05424
48,P28223,DB06477
50,P04626,DB02010
53,P10275,DB02901
73,P10826,DB00755
75,Q15746,DB02010
88,P29317,DB00530
105,O14965,DB07138
113,P00915,DB01021
114,P53778,DB05424
117,Q9Y2D0,DB00311
127,O43293,DB00317
130,P24941,DB07538
134,Q15118,DB07534
158,P28221,DB00669
161,P08908,DB00669
223,P04278,DB01708
232,P35462,DB00988
241,P35462,DB00988
247,P11511,DB01536
263,P14061,DB13089
265,P14061,DB01645
269,P14061,DB13089
271,P14061,DB01094
274,P37059,DB13044
276,P37059,DB01094
277,P14061,DB01645
278,P37059,DB04216
279,P37059,DB01852
349,Q08209,DB00864
384,P16234,DB11805
454,P11511,DB00357
537,P35354,DB14059
558,P35354,DB00482
580,P22303,DB00382
589,P51582,DB04315
591,P28221,DB00669
593,P08908,DB00669
601,P00918,DB00150
624,P35408,DB12789
723,Q9GZT9,DB07112
769,P15559,DB00170
791,P08908,DB04908
799,P47900,DB00131
801,P10276,DB02877
806,P11229,DB15357
815,P14416,DB00988
818,P35462,DB00988
820,P21917,DB00988
844,P00918,DB00819
850,P35372,DB00295
864,P03372,DB00783
885,P10276,DB00755
886,P19793,DB00755
887,P13631,DB00755
900,Q07973,DB01026
947,P35218,DB00909
960,P35354,DB02709
965,P54760,DB07254
978,Q07869,DB07691
1016,P14416,DB00714
1056,Q09470,DB00553
1076,P06401,DB00396
1110,P07451,DB01144
1117,Q9Y2D0,DB01144
1153,Q03181,DB04270
1162,P41145,DB00295
1190,P35368,DB08950
1204,P00533,DB05294
1228,P21917,DB00502
1229,P08908,DB00246
1233,Q92731,DB00947
1234,P41595,DB00502
1245,O60218,DB02383
1368,P50281,DB07233
1379,Q9Y6L6,DB07496
1380,Q12809,DB01184
1382,Q9NPD5,DB00553
1391,Q9Y6L6,DB12617
1438,Q9UNQ0,DB00457
1449,Q13255,DB00142
1453,Q9NPD5,DB08958
1454,Q9NPD5,DB00328
1467,Q9Y6L6,DB04620
1573,Q9Y6L6,DB00951
1579,P35968,DB02010
1592,P00747,DB08174
1598,P04150,DB00860
1600,P18031,DB01880
1611,P04150,DB00860
1623,Q9Y6L6,DB00423
1626,Q9Y6L6,DB00553
1631,P21554,DB06155
1640,Q9Y6L6,DB01645
1646,Q9Y6L6,DB00970
1654,Q9Y6L6,DB13583
1656,Q9NPD5,DB00162
1665,Q9Y6L6,DB00722
1675,Q9NPD5,DB01060
1740,P35354,DB01880
1742,P35354,DB04557
1750,P31645,DB09190
1779,P29474,DB07002
1795,Q16790,DB08782
1823,Q96RI1,DB06777
1848,P25100,DB00457
1849,Q9NPD5,DB00861
1851,Q9NPD5,DB00181
1853,Q9NPD5,DB00440
1858,Q9NPD5,DB06789
1867,Q9NPD5,DB00421
1874,Q9NPD5,DB00722
1887,Q9NPD5,DB12231
1891,Q9NPD5,DB04564
1901,P00915,DB07476
1904,P00915,DB01194
1909,P10275,DB02901
1912,P10275,DB02932
1926,P08908,DB00669
1936,Q9Y6L6,DB06479
1941,Q9Y6L6,DB01015
1942,Q9Y6L6,DB13536
1943,Q9Y6L6,DB02789
1980,Q9NPD5,DB11376
1982,Q9NPD5,DB12052
1987,Q9Y6L6,DB00253
1990,Q9NPD5,DB06799
1993,Q9NPD5,DB00199
2008,Q9Y6L6,DB01009
2013,Q9NPD5,DB00356
2038,P28838,DB02386
2054,P02768,DB00468
2083,P10826,DB00755
2091,Q12809,DB01026
2105,Q02880,DB00779
2113,P00519,DB02010
2116,P00533,DB11828
2119,Q8WUI4,DB02546
2121,P00533,DB04879
2127,P35968,DB00317
2129,Q14416,DB02999
2132,P35968,DB04879
2133,Q01959,DB00907
2134,P08254,DB07988
2215,P35968,DB00317
2321,Q16659,DB02424
2326,P41145,DB00295
2342,O76074,DB00203
2362,P41143,DB00844
2398,P00918,DB00909
2413,P03372,DB00783
2431,P25101,DB00559
2456,P05067,DB02709
2467,O75762,DB12681
2476,O75762,DB02513
2482,P35499,DB01221
2517,P42263,DB00142
2531,P00918,DB00273
2547,P29274,DB12885
2566,Q13133,DB07080
2574,Q16539,DB02277
2579,P33261,DB01120
2645,P08185,DB04630
2646,P06239,DB07326
2663,P08238,DB13912
2668,P41143,DB00704
2709,P00918,DB00819
2805,P50406,DB14010
2818,P55055,DB07080
2820,Q96GD4,DB11747
2956,P14324,DB06830
2958,P10828,DB00279
2970,P00918,DB00259
2996,Q9NUW8,DB00396
3012,P00734,DB11984
3015,P02768,DB01124
3023,P30556,DB00177
3024,P21554,DB13950
3030,P11387,DB00206
3054,P23975,DB00344
3062,P32245,DB04931
3064,P48039,DB01065
3069,P28223,DB00363
3083,P42345,DB00877
3084,Q07869,DB00412
3106,P11229,DB00334
3132,P36873,DB02169
3150,P28223,DB00246
3154,P08908,DB00246
3173,P13726,DB00313
3176,P61073,DB06809
3179,P61073,DB06809
3180,P61073,DB06809
3188,P08069,DB07253
3201,P10275,DB01128
3216,P35372,DB00844
3223,P08912,DB03128
3248,P25100,DB00706
3258,O94760,DB01686
3278,P04818,DB00642
3323,P10828,DB00279
3337,P00918,DB06370
3376,Q16790,DB00311
3392,Q16539,DB07833
3414,P17538,DB00188
3425,Q07869,DB06536
3439,P10826,DB00755
3544,P23975,DB01151
3545,P23975,DB01151
3546,P23975,DB01151
3556,P24557,DB12017
3557,P24557,DB12017
3565,P21917,DB00413
3566,P21917,DB00413
3572,P14867,DB00292
3593,P00918,DB00819
3595,Q16790,DB00819
3599,P00918,DB03345
3608,P0DMS8,DB12885
3610,P05177,DB06991
3611,Q16790,DB00819
3623,P25100,DB09202
3707,O43526,DB04953
3714,Q9UBN7,DB04297
3719,P28221,DB00998
3723,P23219,DB00821
3770,P04150,DB07776
3786,Q16798,DB02175
3850,P07947,DB01254
3891,P08185,DB00396
3894,Q8IW41,DB04719
3900,P12955,DB04092
3904,P48039,DB01065
3905,P49286,DB01065
3983,O00141,DB04719
3988,P00533,DB07662
4005,P02768,DB00829
4051,P02768,DB00788
4059,P20309,DB15357
4065,P08912,DB15357
4068,P14324,DB00399
4077,P08173,DB15357
4107,Q07343,DB11681
4117,P27815,DB04149
4155,P35462,DB00502
4167,P03956,DB05100
4173,P10826,DB00755
4180,P06732,DB00148
4191,O43570,DB00150
4210,O43570,DB00819
4255,P56817,DB06930
4264,P35228,DB12237
4266,P29474,DB12237
4267,P03372,DB00255
4282,P04278,DB02854
4288,P04278,DB00603
4327,P11229,DB15357
4337,P03372,DB04202
4394,P00797,DB03395
4402,P10826,DB00755
4410,P35348,DB09202
4433,P24941,DB11829
4434,Q96RR4,DB03496
4441,O94768,DB03496
4442,Q13131,DB06195
4448,P08311,DB00188
4449,P09619,DB03496
4452,Q9ULX7,DB00819
4453,P35968,DB00398
4455,Q9P286,DB05294
4456,P00519,DB01268
4459,P04035,DB12647
4461,Q16539,DB05524
4464,P00519,DB03496
4468,P10721,DB05524
4475,P13631,DB00755
4477,O14976,DB00317
4481,P35354,DB00945
4482,P15735,DB05294
4485,O14746,DB00694
4492,P11086,DB03468
4508,P32239,DB09142
4554,O75716,DB06195
4561,Q05397,DB01268
4564,Q05397,DB03496
4565,P27487,DB07067
4566,Q13555,DB05465
4570,O60674,DB01268
4576,Q96NX5,DB03496
4577,Q13557,DB05524
4579,P16591,DB00398
4581,P16591,DB06195
4583,Q9Y2H1,DB01268
4584,P17252,DB05524
4586,Q14012,DB01259
4587,P06241,DB11829
4589,P17252,DB05465
4591,P17252,DB00398
4594,Q13882,DB00398
4598,P43405,DB04879
4600,P43405,DB01268
4603,P43405,DB00398
4606,Q13153,DB11829
4607,P41240,DB11829
4608,P53779,DB01259
4628,Q08499,DB01954
4639,P35372,DB00704
4662,Q12809,DB06625
4694,P04150,DB00860
4711,P23975,DB00289
4726,P37231,DB08915
4771,P03372,DB00655
4778,P23975,DB00907
4797,P08069,DB11694
4849,Q9Y2D0,DB07632
4857,P31645,DB00472
4877,P42330,DB01009
4880,P11309,DB04715
4921,P28335,DB00831
4945,P08684,DB08051
4961,P35228,DB04975
4976,P37231,DB00412
4998,P24593,DB01093
5002,Q07869,DB08121
5004,P37231,DB08121
5007,Q07869,DB07842
5016,P30556,DB00966
5056,P35462,DB00363
5089,P00533,DB05294
5104,P10415,DB13044
5130,P05771,DB03496
5161,Q12809,DB00734
5179,Q07817,DB13044
5229,P35968,DB05294
5232,P35968,DB00317
5237,P08183,DB06240
5251,P35968,DB02152
5305,P00918,DB00819
5346,P62937,DB00091
5354,O43570,DB01194
5369,Q9ULX7,DB00311
5378,P03372,DB00783
5385,P14416,DB00502
5398,P41146,DB05562
5399,P23975,DB05562
5409,Q04912,DB03044
5412,P04629,DB03044
5448,P0DMS8,DB12946
5471,P14324,DB00884
5538,P08183,DB00396
5562,P33527,DB00328
5595,Q9P1W9,DB03496
5599,Q9HBH9,DB00398
5600,Q9HC98,DB02010
5606,P54762,DB11829
5612,P12931,DB03044
5623,P35916,DB11829
5638,P06241,DB02010
5644,Q9UKE5,DB05294
5647,P29317,DB00317
5650,P29317,DB05424
5652,O00444,DB00619
5663,Q9P1W9,DB00530
5667,O43293,DB00619
5691,Q92731,DB00783
5710,P49759,DB02010
5714,Q9HAZ1,DB00530
5716,Q96RR4,DB07138
5718,Q96NX5,DB05294
5741,P02768,DB01092
5749,O00329,DB11663
5765,Q13547,DB06176
5768,Q92769,DB12645
5788,P00533,DB00530
5791,P45983,DB11829
