protein_name	disorder_name	score
P22059	0005575	0.30000001192092896
Q5VSF9	0013655	0.6000000238418579
Q5VSF9	0004985	0.3400000035762787
Q5VSF9	0008599	0.30000001192092896
Q6ZYL4	0014619	0.6000000238418579
Q6ZYL4	0018053	0.4000000059604645
Q6ZYL4	0019046	0.30000001192092896
P22061	0019351	0.3199999928474426
P61626	0015137	0.30000001192092896
P61626	0007099	0.6000000238418579
P61619	0014891	0.6000000238418579
P22004	0008143	0.30000001192092896
P22004	0005575	0.3100000023841858
P22004	0006525	0.30000001192092896
P22004	0019471	0.3100000023841858
P22004	0008383	0.3100000023841858
P61604	0004994	0.30000001192092896
P36639	0000577	0.30000001192092896
P22033	0011122	0.30000001192092896
P22033	0002012	0.5
P22033	0019052	0.3199999928474426
P22033	0009612	0.8999999761581421
B2KJ49	0021085	0.30000001192092896
B2KJ49	0004970	0.30000001192092896
B2KJ49	0003197	0.30000001192092896
B2KJ49	0005606	0.30000001192092896
B2KJ49	0007648	0.30000001192092896
B2KJ49	0006176	0.30000001192092896
Q5VST9	0005575	0.3100000023841858
Q5VT52	0008315	0.30000001192092896
P61586	0011719	0.30000001192092896
P61586	0021085	0.3199999928474426
P61586	0001187	0.30000001192092896
P61586	0015758	0.30000001192092896
P61586	0015760	0.3199999928474426
P61586	0004993	0.30000001192092896
P61586	0004987	0.30000001192092896
P61586	0004977	0.4000000059604645
P61586	0005711	0.30000001192092896
P61586	0005617	0.30000001192092896
P61586	0006406	0.30000001192092896
P61586	0005062	0.3400000035762787
P61586	0007648	0.30000001192092896
P61586	0019476	0.3400000035762787
P61586	0018031	0.30000001192092896
P61586	0007243	0.3100000023841858
P61764	0011794	0.5199999809265137
P61764	0011506	0.30000001192092896
P61764	0012812	0.6000000238418579
P61764	0017746	0.30000001192092896
P61764	0016022	0.30000001192092896
P61764	0016021	0.5
P61764	0019486	0.30000001192092896
P61764	0018097	0.47999998927116394
P61769	0009434	0.6100000143051147
P61769	0011476	0.30000001192092896
P61769	0017810	0.30000001192092896
P61769	0015137	0.30000001192092896
