,drug_id,entrez_id
1,DB00114,3067
1,DB00117,3067
2,DB00142,27165
3,DB02340,2162
3,DB11300,2162
3,DB11311,2162
3,DB11571,2162
3,DB13151,2162
4,DB00125,4843
4,DB00155,4843
4,DB01017,4843
4,DB01110,4843
4,DB01234,4843
4,DB01686,4843
4,DB01835,4843
4,DB01997,4843
4,DB02044,4843
4,DB02207,4843
4,DB02234,4843
4,DB02462,4843
4,DB02644,4843
4,DB03100,4843
4,DB03144,4843
4,DB03366,4843
4,DB03449,4843
4,DB03953,4843
4,DB04400,4843
4,DB04534,4843
4,DB05214,4843
4,DB05252,4843
4,DB05383,4843
4,DB06879,4843
4,DB06916,4843
4,DB07002,4843
4,DB07003,4843
4,DB07007,4843
4,DB07008,4843
4,DB07011,4843
4,DB07029,4843
4,DB07306,4843
4,DB07318,4843
4,DB07388,4843
4,DB07389,4843
4,DB07405,4843
4,DB08214,4843
4,DB08750,4843
4,DB08814,4843
4,DB09237,4843
4,DB11327,4843
4,DB14649,4843
5,DB00157,3294
5,DB13952,3294
5,DB13953,3294
5,DB13954,3294
5,DB13955,3294
5,DB13956,3294
6,DB00157,23530
6,DB01763,23530
6,DB03461,23530
6,DB09092,23530
7,DB00157,128
7,DB03017,128
7,DB03704,128
7,DB04153,128
8,DB00116,275
8,DB00157,275
8,DB04789,275
9,DB00157,3419
9,DB06757,3419
9,DB09092,3419
9,DB09130,3419
10,DB00381,8911
10,DB00568,8911
10,DB00617,8911
10,DB00909,8911
10,DB01118,8911
10,DB01388,8911
10,DB04841,8911
10,DB06152,8911
10,DB09061,8911
10,DB09235,8911
10,DB14009,8911
10,DB14011,8911
11,DB00193,134
11,DB00201,134
11,DB00277,134
11,DB00555,134
11,DB00640,134
11,DB00651,134
11,DB00806,134
11,DB00824,134
11,DB00996,134
11,DB01223,134
11,DB01303,134
11,DB01412,134
11,DB04932,134
11,DB04954,134
11,DB06471,134
11,DB09061,134
11,DB11757,134
11,DB12569,134
11,DB12670,134
12,DB00171,25
12,DB00619,25
12,DB01254,25
12,DB03878,25
12,DB04868,25
12,DB05184,25
12,DB06616,25
12,DB07831,25
12,DB08043,25
12,DB08231,25
12,DB08339,25
12,DB08350,25
12,DB08583,25
12,DB08896,25
12,DB08901,25
12,DB12010,25
12,DB12267,25
12,DB12323,25
13,DB00043,2205
13,DB00895,2205
13,DB05797,2205
14,DB00055,2157
14,DB00100,2157
14,DB06050,2157
14,DB11300,2157
14,DB11312,2157
14,DB11571,2157
14,DB11572,2157
14,DB12872,2157
14,DB13133,2157
