	drug_id	drug_name	drug_status
0	DB00001	Lepirudin	approved
1	DB00002	Cetuximab	approved
2	DB00004	Denileukin diftitox	approved, investigational
3	DB00005	Etanercept	approved, investigational
4	DB00006	Bivalirudin	approved, investigational
5	DB00007	Leuprolide	approved, investigational
6	DB00008	Peginterferon alfa-2a	approved, investigational
7	DB00009	Alteplase	approved
8	DB00010	Sermorelin	approved, withdrawn
9	DB00011	Interferon alfa-n1	approved, investigational
10	DB00012	Darbepoetin alfa	approved, investigational
11	DB00013	Urokinase	approved, investigational, withdrawn
12	DB00014	Goserelin	approved
13	DB00015	Reteplase	approved, investigational
14	DB00016	Erythropoietin	approved
15	DB00017	Salmon Calcitonin	approved, investigational
16	DB00018	Interferon alfa-n3	approved, investigational
17	DB00019	Pegfilgrastim	approved
18	DB00020	Sargramostim	approved, investigational
19	DB00022	Peginterferon alfa-2b	approved
20	DB00024	Thyrotropin alfa	approved, vet_approved
21	DB00025	Antihemophilic factor, human recombinant	approved, investigational
22	DB00026	Anakinra	approved
23	DB00028	Immune Globulin Human	approved, investigational
24	DB00029	Anistreplase	approved
25	DB00030	Insulin Human	approved, investigational
26	DB00031	Tenecteplase	approved
27	DB00032	Menotropins	approved
28	DB00033	Interferon gamma-1b	approved, investigational
29	DB00034	Interferon Alfa-2a, Recombinant	approved, investigational
30	DB00035	Desmopressin	approved
31	DB00036	Coagulation factor VIIa Recombinant Human	approved
32	DB00038	Oprelvekin	approved, investigational
33	DB00039	Palifermin	approved
34	DB00040	Glucagon	approved
35	DB00041	Aldesleukin	approved
36	DB00042	Botulinum Toxin Type B	approved, investigational
37	DB00043	Omalizumab	approved, investigational
38	DB00044	Lutropin alfa	approved
39	DB00045	Lyme disease vaccine (recombinant OspA)	approved, withdrawn
40	DB00046	Insulin Lispro	approved
41	DB00047	Insulin glargine	approved
42	DB00048	Collagenase clostridium histolyticum	approved, investigational
43	DB00050	Cetrorelix	approved, investigational
44	DB00051	Adalimumab	approved
45	DB00052	Somatotropin	approved, investigational
46	DB00054	Abciximab	approved
47	DB00055	Drotrecogin alfa	approved, investigational, withdrawn
48	DB00056	Gemtuzumab ozogamicin	approved, investigational
49	DB00058	Alpha-1-proteinase inhibitor	approved
50	DB00060	Interferon beta-1a	approved, investigational
51	DB00061	Pegademase	approved
52	DB00063	Eptifibatide	approved, investigational
53	DB00065	Infliximab	approved
54	DB00066	Follitropin	approved
55	DB00067	Vasopressin	approved
56	DB00068	Interferon beta-1b	approved
57	DB00069	Interferon alfacon-1	approved, investigational
58	DB00070	Hyaluronidase (ovine)	approved, investigational
59	DB00071	Insulin Pork	approved
60	DB00072	Trastuzumab	approved, investigational
61	DB00073	Rituximab	approved
62	DB00074	Basiliximab	approved, investigational
63	DB00075	Muromonab	approved, investigational
64	DB00078	Ibritumomab tiuxetan	approved, investigational
65	DB00081	Tositumomab	approved, investigational
66	DB00082	Pegvisomant	approved
67	DB00083	Botulinum toxin type A	approved, investigational
68	DB00086	Streptokinase	approved, investigational
69	DB00087	Alemtuzumab	approved, investigational
70	DB00089	Capromab pendetide	approved
71	DB00091	Ciclosporin	approved, investigational, vet_approved
72	DB00092	Alefacept	approved, investigational, withdrawn
73	DB00093	Felypressin	experimental
74	DB00094	Urofollitropin	approved, vet_approved
75	DB00095	Efalizumab	approved, investigational
76	DB00097	Choriogonadotropin alfa	approved
77	DB00098	Antithymocyte immunoglobulin (rabbit)	approved
78	DB00099	Filgrastim	approved
79	DB00100	Coagulation Factor IX (Recombinant)	approved, investigational
80	DB00102	Becaplermin	approved, investigational
81	DB00104	Octreotide	approved, investigational
82	DB00105	Interferon alfa-2b	approved
83	DB00106	Abarelix	approved, investigational, withdrawn
84	DB00107	Oxytocin	approved, vet_approved
85	DB00108	Natalizumab	approved, investigational
86	DB00109	Enfuvirtide	approved, investigational
87	DB00110	Palivizumab	approved, investigational
88	DB00111	Daclizumab	investigational, withdrawn
89	DB00112	Bevacizumab	approved, investigational
90	DB00113	Technetium Tc-99m arcitumomab	experimental
91	DB00114	Pyridoxal phosphate	approved, investigational, nutraceutical
92	DB00115	Cyanocobalamin	approved, nutraceutical
93	DB00116	Tetrahydrofolic acid	nutraceutical
94	DB00117	Histidine	approved, nutraceutical
95	DB00118	Ademetionine	approved, investigational, nutraceutical
96	DB00119	Pyruvic acid	approved, investigational, nutraceutical
97	DB00120	L-Phenylalanine	approved, investigational, nutraceutical
98	DB00121	Biotin	approved, investigational, nutraceutical
99	DB00122	Choline	approved, nutraceutical
100	DB00123	L-Lysine	approved, nutraceutical
101	DB00125	L-Arginine	approved, nutraceutical
102	DB00126	Ascorbic acid	approved, nutraceutical
103	DB00127	Spermine	experimental, nutraceutical
104	DB00128	Aspartic acid	approved, nutraceutical
105	DB00129	Ornithine	approved, nutraceutical
106	DB00130	L-Glutamine	approved, investigational, nutraceutical
107	DB00131	Adenosine phosphate	approved, investigational, nutraceutical
108	DB00132	Alpha-Linolenic Acid	approved, investigational, nutraceutical
109	DB00133	Serine	approved, nutraceutical
110	DB00134	Methionine	approved, nutraceutical
111	DB00135	Tyrosine	approved, investigational, nutraceutical
112	DB00136	Calcitriol	approved, nutraceutical
113	DB00138	Cystine	approved, nutraceutical
114	DB00139	Succinic acid	approved, nutraceutical
115	DB00140	Riboflavin	approved, investigational, nutraceutical, vet_approved
116	DB00141	N-Acetylglucosamine	approved, investigational, nutraceutical
117	DB00142	Glutamic Acid	approved, nutraceutical
118	DB00143	Glutathione	approved, investigational, nutraceutical
119	DB00144	Phosphatidyl serine	approved, investigational, nutraceutical
120	DB00145	Glycine	approved, nutraceutical, vet_approved
121	DB00146	Calcifediol	approved, nutraceutical
122	DB00147	Pyridoxal	experimental, nutraceutical
123	DB00148	Creatine	approved, investigational, nutraceutical
124	DB00149	L-Leucine	approved, nutraceutical
125	DB00150	L-Tryptophan	approved, nutraceutical, withdrawn
126	DB00151	L-Cysteine	approved, nutraceutical
127	DB00152	Thiamine	approved, investigational, nutraceutical, vet_approved
128	DB00153	Ergocalciferol	approved, nutraceutical
129	DB00154	Dihomo-gamma-linolenic acid	investigational, nutraceutical
130	DB00155	L-Citrulline	approved, investigational, nutraceutical
131	DB00156	L-Threonine	approved, nutraceutical
132	DB00157	NADH	approved, nutraceutical
133	DB00158	Folic acid	approved, nutraceutical, vet_approved
134	DB00159	Icosapent	approved, nutraceutical
135	DB00160	L-Alanine	approved, nutraceutical
136	DB00161	L-Valine	approved, nutraceutical
137	DB00162	Vitamin A	approved, nutraceutical, vet_approved
138	DB00163	Vitamin E	approved, nutraceutical, vet_approved
139	DB00165	Pyridoxine	approved, investigational, nutraceutical, vet_approved
140	DB00166	Lipoic Acid	approved, investigational, nutraceutical
141	DB00167	Isoleucine	approved, investigational, nutraceutical
142	DB00168	Aspartame	investigational, nutraceutical
143	DB00169	Cholecalciferol	approved, nutraceutical
144	DB00170	Menadione	approved, nutraceutical
145	DB00171	ATP	investigational, nutraceutical
146	DB00172	Proline	approved, nutraceutical
