protein_ac,drug_id
A0AVT1,DB11759
A1Z199,DB00619
B2RXH2,DB00968
B2RXH2,DB00988
O00141,DB00173
O00141,DB00384
O00141,DB00398
O00141,DB00795
O00141,DB01268
O00141,DB01765
O00141,DB01809
O00141,DB01946
O00141,DB02352
O00141,DB03693
O00141,DB04216
O00141,DB06195
O00141,DB06932
O00141,DB07078
O00141,DB07101
O00141,DB07138
O00141,DB07266
O00141,DB07267
O00141,DB07335
O00141,DB07352
O00141,DB07457
O00141,DB07496
O00141,DB07528
O00141,DB07715
O00141,DB07731
O00141,DB07811
O00141,DB07835
O00141,DB07854
O00141,DB07856
O00141,DB07876
O00141,DB07919
O00141,DB08036
O00141,DB08052
O00141,DB08053
O00141,DB08054
O00141,DB08094
O00141,DB08300
O00141,DB08780
O00141,DB08895
O00141,DB09079
O00141,DB11829
O00141,DB12072
O00141,DB13061
O00141,DB13875
O00141,DB15186
O00142,DB00171
O00142,DB00249
O00142,DB02431
O00142,DB03222
O00142,DB03258
O00142,DB13776
O00182,DB02100
O00182,DB04681
O00204,DB02789
O00204,DB04540
O00206,DB05943
O00214,DB02100
O00214,DB04681
O00222,DB04228
O00238,DB00317
O00238,DB00530
O00238,DB00619
O00238,DB01254
O00238,DB01259
O00238,DB02010
O00238,DB02567
O00238,DB03044
O00238,DB03496
O00238,DB04849
O00238,DB04868
O00238,DB04879
O00238,DB05294
O00238,DB05424
O00238,DB05552
O00238,DB05575
O00238,DB05928
O00238,DB05969
O00238,DB05984
O00238,DB06314
O00238,DB06486
O00238,DB06589
O00238,DB06616
O00238,DB06626
O00238,DB06999
O00238,DB07138
O00238,DB07159
O00238,DB08094
O00238,DB08142
O00238,DB08568
O00238,DB08865
O00238,DB08877
O00238,DB08895
O00238,DB08916
O00238,DB09079
O00238,DB11526
O00238,DB11663
O00238,DB11689
O00238,DB11828
O00238,DB11829
O00238,DB11958
O00238,DB12307
O00238,DB12429
O00238,DB12500
O00238,DB12745
O00238,DB13061
O00238,DB15310
O00254,DB09030
O00255,DB00836
O00311,DB03496
O00311,DB12686
O00329,DB00173
O00329,DB00201
O00329,DB00277
O00329,DB00530
O00329,DB00619
O00329,DB01259
O00329,DB02010
O00329,DB02352
O00329,DB02567
O00329,DB03044
O00329,DB03496
O00329,DB04769
O00329,DB04849
O00329,DB04868
O00329,DB04879
O00329,DB05294
O00329,DB05424
O00329,DB05575
O00329,DB05928
O00329,DB05969
O00329,DB05984
O00329,DB06314
O00329,DB06486
O00329,DB06589
O00329,DB06616
O00329,DB06626
O00329,DB06999
O00329,DB07138
O00329,DB07159
O00329,DB07496
O00329,DB08094
O00329,DB08142
O00329,DB08568
O00329,DB08865
O00329,DB08877
O00329,DB08895
O00329,DB08916
O00329,DB09073
O00329,DB09079
O00329,DB11526
O00329,DB11689
O00329,DB11828
O00329,DB11829
O00329,DB11836
O00329,DB11925
O00329,DB11952
O00329,DB11958
O00329,DB12307
O00329,DB12369
O00329,DB12429
O00329,DB12500
O00329,DB12570
O00329,DB12745
O00329,DB12986
O00329,DB14935
O00329,DB14943
O00329,DB14980
O00338,DB04417
O00408,DB00277
O00408,DB03849
O00408,DB04880
O00408,DB05219
O00408,DB07954
O00408,DB12800
O00408,DB12848
O00408,DB13449
O00411,DB12283
O00418,DB00398
O00418,DB01809
O00418,DB03044
O00418,DB03693
O00418,DB06195
O00418,DB07101
O00418,DB07731
O00418,DB07876
O00418,DB07919
O00418,DB08059
O00418,DB11829
O00418,DB11986
O00418,DB12072
O00418,DB12429
O00418,DB13061
O00418,DB13875
O00418,DB15110
O00418,DB15186
O00443,DB02656
O00443,DB11651
O00443,DB12108
O00443,DB12180
O00443,DB13051
O00443,DB15186
O00444,DB01645
O00444,DB01782
O00444,DB01950
O00444,DB02052
O00444,DB02116
O00444,DB02567
O00444,DB02656
O00444,DB02833
O00444,DB03365
O00444,DB03428
O00444,DB03444
O00444,DB03777
O00444,DB03921
O00444,DB04014
O00444,DB04216
O00444,DB04338
O00444,DB04367
O00444,DB04462
O00444,DB04604
O00444,DB04716
O00444,DB04849
O00444,DB04868
O00444,DB05552
O00444,DB06314
O00444,DB06486
O00444,DB06616
O00444,DB06999
O00444,DB07126
O00444,DB07159
O00444,DB07352
O00444,DB07364
O00444,DB07545
O00444,DB07664
O00444,DB07794
O00444,DB07835
O00444,DB07876
O00444,DB07995
O00444,DB08009
O00444,DB08039
O00444,DB08094
O00444,DB08142
O00444,DB08162
O00444,DB08294
O00444,DB08325
O00444,DB08399
O00444,DB08454
O00444,DB08473
O00444,DB08568
O00444,DB08756
O00444,DB08846
O00444,DB08865
O00444,DB08877
O00444,DB08916
O00444,DB09079
O00444,DB11526
O00444,DB11663
O00444,DB11689
O00444,DB11828
O00444,DB11958
O00444,DB12064
O00444,DB12302
O00444,DB12307
O00444,DB12429
O00444,DB12500
O00444,DB12610
O00444,DB12745
O00444,DB12966
O00462,DB03206
O00462,DB05018
O00482,DB14013
O00482,DB14014
O00487,DB11145
O00506,DB01645
O00506,DB01782
O00506,DB01950
O00506,DB02052
O00506,DB02116
O00506,DB02424
O00506,DB02567
O00506,DB02656
O00506,DB02833
O00506,DB03365
O00506,DB03428
O00506,DB03444
O00506,DB03758
O00506,DB03777
O00506,DB03921
O00506,DB04014
O00506,DB04216
O00506,DB04338
O00506,DB04367
O00506,DB04462
O00506,DB04604
O00506,DB04716
O00506,DB04849
O00506,DB04868
O00506,DB05524
O00506,DB05552
O00506,DB06314
O00506,DB06486
O00506,DB06626
O00506,DB06999
O00506,DB07126
O00506,DB07159
O00506,DB07335
O00506,DB07352
O00506,DB07364
O00506,DB07545
O00506,DB07664
O00506,DB07794
O00506,DB07835
O00506,DB07876
O00506,DB07995
O00506,DB08009
O00506,DB08039
O00506,DB08052
O00506,DB08053
O00506,DB08054
O00506,DB08073
O00506,DB08094
O00506,DB08142
O00506,DB08162
O00506,DB08294
O00506,DB08300
O00506,DB08325
O00506,DB08399
O00506,DB08454
O00506,DB08473
O00506,DB08568
O00506,DB08756
O00506,DB08865
O00506,DB08877
O00506,DB08916
O00506,DB09079
O00506,DB11526
O00506,DB11663
O00506,DB11689
O00506,DB11775
O00506,DB11828
O00506,DB11958
O00506,DB12302
O00506,DB12307
O00506,DB12429
O00506,DB12500
O00506,DB12745
O00506,DB12966
O00506,DB15186
O00519,DB00246
O00519,DB00252
O00519,DB00315
O00519,DB00356
O00519,DB00371
O00519,DB00395
O00519,DB00409
O00519,DB00450
O00519,DB00455
O00519,DB00490
O00519,DB00575
O00519,DB00601
O00519,DB00656
O00519,DB00660
O00519,DB00697
O00519,DB00705
O00519,DB00745
O00519,DB00818
O00519,DB00822
O00519,DB00827
O00519,DB00909
O00519,DB01039
O00519,DB01041
O00519,DB01067
O00519,DB01083
O00519,DB01097
O00519,DB01101
O00519,DB01198
O00519,DB01219
O00519,DB01435
O00519,DB02967
O00519,DB04557
O00519,DB04892
O00519,DB04910
O00519,DB05266
O00519,DB06144
O00519,DB06264
O00519,DB06479
O00519,DB06623
O00519,DB08979
O00519,DB09245
O00519,DB09295
O00519,DB11155
O00519,DB11409
O00519,DB11410
O00519,DB11446
O00519,DB11513
O00519,DB11948
O00519,DB12919
O00519,DB12931
O00519,DB13082
O00519,DB13245
O00519,DB13354
O00519,DB13520
O00519,DB14174
O00519,DB14178
O00519,DB14949
O00519,DB15581
O00562,DB00619
O00748,DB00313
O00748,DB01045
O00748,DB01878
O00748,DB07418
