	drug_id	protein_ac
0	DB00001	P00734
1	DB00002	P00533
2	DB00002	O75015
3	DB00002	P00736
4	DB00002	P02745
5	DB00002	P02746
6	DB00002	P02747
7	DB00002	P08637
8	DB00002	P09871
9	DB00002	P12314
10	DB00002	P12318
11	DB00002	P31994
12	DB00002	P31995
13	DB00004	P01589
14	DB00004	P14784
15	DB00004	P31785
16	DB00005	P01375
17	DB00005	P20333
18	DB00005	P12314
19	DB00005	P08637
20	DB00005	P12318
21	DB00005	P31994
22	DB00005	P31995
23	DB00005	P01374
24	DB00005	O75015
25	DB00005	P09871
26	DB00005	P00736
27	DB00005	P02745
28	DB00005	P02746
29	DB00005	P02747
30	DB00006	P00734
31	DB00007	P30968
32	DB00008	P48551
33	DB00008	P17181
34	DB00009	P00747
35	DB00009	P02671
36	DB00009	Q03405
37	DB00009	P05121
38	DB00010	Q02643
39	DB00011	P48551
40	DB00011	P17181
41	DB00012	P19235
42	DB00013	P00747
43	DB00013	Q03405
44	DB00013	P00749
45	DB00013	P00750
46	DB00013	P05121
47	DB00013	P05120
48	DB00013	P05154
49	DB00013	P98164
50	DB00013	Q9Y5Y6
51	DB00013	P14543
52	DB00014	P22888
53	DB00014	P30968
54	DB00015	P00747
55	DB00015	P02671
56	DB00015	Q03405
57	DB00015	P05121
58	DB00016	P19235
59	DB00017	P30988
60	DB00017	O60894
61	DB00017	O60895
62	DB00017	O60896
63	DB00018	P17181
64	DB00018	P48551
65	DB00019	Q99062
66	DB00019	P08246
67	DB00020	P15509
68	DB00020	P26951
69	DB00020	P32927
70	DB00020	P34741
71	DB00020	P13727
72	DB00022	P17181
73	DB00022	P48551
74	DB00024	P16473
75	DB00025	P00742
76	DB00025	P00740
77	DB00025	P04275
78	DB00025	O14832
79	DB00025	P07307
80	DB00025	P11021
81	DB00025	P27797
82	DB00025	P27824
83	DB00025	P49257
84	DB00025	Q07954
85	DB00025	Q8NI22
86	DB00026	P14778
87	DB00026	Q9NPH3
88	DB00028	P12314
89	DB00028	Q92637
90	DB00028	P12318
91	DB00028	P31994
92	DB00028	P31995
93	DB00028	P08637
94	DB00028	O75015
95	DB00028	P01024
96	DB00028	P0C0L4
97	DB00028	P0C0L5
98	DB00028	P01031
99	DB00029	P00747
100	DB00029	P02671
101	DB00029	Q03405
102	DB00029	P05121
103	DB00030	P06213
104	DB00030	P08069
105	DB00030	P06400
106	DB00030	P06239
107	DB00031	P00747
108	DB00031	P02671
109	DB00031	Q03405
110	DB00031	P05121
111	DB00031	P05120
112	DB00031	P05452
113	DB00031	P05787
114	DB00031	P07355
115	DB00031	P27797
116	DB00031	P27824
117	DB00031	Q07954
118	DB00032	P23945
119	DB00032	P22888
120	DB00033	P15260
121	DB00033	P38484
122	DB00034	P17181
123	DB00034	P48551
124	DB00035	P30518
125	DB00035	P37288
126	DB00035	P47901
127	DB00035	P30559
128	DB00036	P00742
129	DB00036	P05981
130	DB00036	P10646
131	DB00036	P38435
132	DB00036	P08709
133	DB00036	P13726
134	DB00038	Q14626
135	DB00038	P40189
136	DB00039	P21802
137	DB00039	O14786
138	DB00039	P11362
139	DB00039	P22455
140	DB00039	P22607
141	DB00039	P98160
142	DB00040	P47871
143	DB00040	O95838
144	DB00040	P43220
145	DB00041	P14784
146	DB00041	P01589
147	DB00041	P31785
148	DB00042	P63027
149	DB00042	P23763
150	DB00042	Q8N9I0
151	DB00043	P12319
152	DB00043	Q01362
153	DB00043	P01854
154	DB00044	P22888
155	DB00045	O60603
156	DB00046	P06213
157	DB00046	P08069
158	DB00047	P06213
159	DB00047	P08069
160	DB00048	P02452
161	DB00048	P02458
162	DB00048	P02461
163	DB00048	P08123
164	DB00050	P30968
165	DB00050	P22888
166	DB00051	P01375
167	DB00052	P10912
168	DB00052	P16471
169	DB00054	P05106
170	DB00054	P08514
171	DB00054	O75015
172	DB00054	P00736
173	DB00054	P02745
174	DB00054	P02746
175	DB00054	P02747
176	DB00054	P08637
177	DB00054	P09871
178	DB00054	P12314
179	DB00054	P12318
180	DB00054	P31994
181	DB00054	P31995
182	DB00054	P04004
