mondo_id	label	icd10
0009448	iminoglycinuria	[E72.0]
0008119	spinocerebellar ataxia type 1	[G11.8]
0010435	nystagmus 6, congenital, X-linked	[]
0011766	46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome	[Q56.1]
0011767	autosomal recessive nonsyndromic deafness 31	[H90.3]
0010437	severe X-linked mitochondrial encephalomyopathy	[G31.8]
0010438	paroxysmal nocturnal hemoglobinuria 1	[]
0009443	autosomal recessive congenital ichthyosis 4B	[Q80.4]
0009441	autosomal recessive congenital ichthyosis 1	[Q80.2]
0008111	oculodentodigital dysplasia	[Q87.8]
0008114	obsessive-compulsive disorder	[F42]
0008116	oculopharyngeal muscular dystrophy	[G71.0]
0011773	anauxetic dysplasia	[Q77.7]
0011774	autosomal recessive nonsyndromic deafness 30	[H90.3]
0010443	macular degeneration, X-linked atrophic	[]
0011776	CINCA syndrome	[E85.0]
0011772	B4GALT1-CDG	[E77.8]
0010441	CK syndrome	[]
0008109	ocular cicatricial pemphigoid	[]
0009437	Bamforth-Lazarus syndrome	[E03.1]
0010447	intellectual disability, X-linked 19	[]
0010448	moyamoya angiopathy-short stature-facial dysmorphism-hypergonadotropic hypogonadism syndrome	[]
0009431	hereditary hypophosphatemic rickets with hypercalciuria	[E83.3]
0022430	persistent fetal circulation syndrome	[]
0009430	hypophosphatemic rickets, autosomal recessive, 1	[]
0021104	alcoholic fatty liver disease	[]
0008102	sick sinus syndrome 2, autosomal dominant	[]
0009434	hypoproteinemia, hypercatabolic	[]
0011784	Moyamoya disease 2	[]
0011786	allergic rhinitis	[]
0010455	X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection and neoplasia	[D81.8]
0011781	spinocerebellar ataxia type 17	[G11.8]
0010451	intellectual disability, X-linked 41	[]
0010452	intellectual disability, X-linked 90	[]
0011783	ALG12-CDG	[E77.8]
0010417	syndromic X-linked intellectual disability Najm type	[Q04.3]
0011748	Usher syndrome type 1G	[H35.5]
0011749	oculocutaneous albinism type 1B	[E70.3]
0011744	primary intraosseous venous malformation	[D18.0]
0010414	myopathy, reducing body, X-linked, early-onset, severe	[]
0010415	myopathy, reducing body, X-linked, childhood-onset	[]
0009465	multiple intestinal atresia	[Q82.8,Q43.8]
0008133	optic atrophy 3	[H47.2]
0009468	pseudotumor cerebri	[G93.2]
0008136	isolated optic nerve hypoplasia	[H47.0]
0009466	neuronal intestinal pseudoobstruction	[K59.8]
0009461	male infertility due to large-headed multiflagellar polyploid spermatozoa	[N46]
0010421	Bruton-type agammaglobulinemia	[D80.0]
0011752	nephronophthisis 4	[]
0010423	hypospadias 2, X-linked	[]
0011759	Hurler-Scheie syndrome	[E76.0]
0010429	intellectual disability, X-linked 96	[]
0009459	channelopathy-associated congenital insensitivity to pain, autosomal recessive	[G60.8]
0010424	surfactant metabolism dysfunction, pulmonary, 4	[]
0011756	Senior-Loken syndrome 4	[]
0010427	syndromic X-linked intellectual disability Raymond type	[Q87.8]
