,drug_id,pharmaGKD_id,pubchem_substance_id
0,DB00001,PA450195,46507011.0
1,DB00002,PA10040,46507042.0
2,DB00003,PA10318,46507792.0
3,DB00004,PA164750594,46506950.0
4,DB00005,PA449515,46506732.0
5,DB00006,PA10032,46507415.0
6,DB00007,PA450203,46507635.0
7,DB00008,PA164749390,46504860.0
8,DB00009,PA164776730,46507035.0
9,DB00010,PA164749110,46507399.0
10,DB00011,PA164746538,46506227.0
11,DB00012,PA164743138,46504480.0
12,DB00013,PA451836,46506299.0
13,DB00014,PA164747674,46507336.0
14,DB00015,PA164743728,46506092.0
15,DB00016,PA10072,46508122.0
16,DB00017,PA448715,46506061.0
17,DB00018,PA164746228,46508902.0
18,DB00019,PA164781387,46505853.0
19,DB00020,PA164748631,46507000.0
20,DB00022,PA164784024,46506669.0
21,DB00023,PA448492,46507633.0
22,DB00024,PA164746560,46505696.0
23,DB00025,PA164750168,46506209.0
24,DB00026,PA10799,46507944.0
25,DB00027,PA449808,46507412.0
26,DB00028,PA164754884,46508774.0
27,DB00029,PA164769075,46504487.0
28,DB00030,PA164744571,46506231.0
29,DB00031,PA164776757,46508657.0
30,DB00032,PA164749406,46504503.0
31,DB00033,PA164746386,46507194.0
32,DB00034,PA164779048,46506712.0
33,DB00035,PA449237,
34,DB00036,PA164748389,46507544.0
35,DB00038,PA164747991,46506470.0
36,DB00039,PA164744014,46506691.0
37,DB00040,PA164779052,46504732.0
38,DB00041,PA448081,46508054.0
39,DB00042,PA164747061,46504750.0
40,DB00043,PA164752253,46507002.0
41,DB00044,PA164750539,46507624.0
42,DB00045,PA164743058,46504444.0
43,DB00046,PA164747059,46507498.0
44,DB00047,PA449992,46507981.0
45,DB00048,PA449107,46506485.0
46,DB00049,PA10176,46504490.0
47,DB00050,PA164764506,46505494.0
48,DB00051,PA10004,46504982.0
49,DB00052,PA451446,46506010.0
50,DB00053,PA164742934,46508744.0
51,DB00054,PA448006,46505910.0
52,DB00055,PA131548935,46505655.0
53,DB00056,PA164749431,46505767.0
54,DB00057,PA164745371,46505873.0
55,DB00058,PA10308,46506364.0
56,DB00059,PA164760860,46505366.0
57,DB00060,PA450037,46504899.0
58,DB00061,PA450831,46508490.0
59,DB00062,PA164743293,46509098.0
60,DB00063,PA449483,46505459.0
61,DB00065,PA452639,46505602.0
62,DB00066,PA449693,46508818.0
63,DB00067,PA451858,46505933.0
64,DB00068,PA450039,46504458.0
65,DB00069,PA164749376,46505985.0
66,DB00070,PA164745713,46505087.0
67,DB00071,PA164781053,46508925.0
68,DB00072,PA451743,46507516.0
69,DB00073,PA451261,46505820.0
70,DB00074,PA164747126,46505169.0
71,DB00075,PA164743097,46507837.0
72,DB00076,PA164769030,46506432.0
73,DB00078,PA164781375,46506112.0
74,DB00080,PA164768820,46504551.0
75,DB00081,PA164748364,46506662.0
76,DB00082,PA164749630,46505507.0
77,DB00083,PA164754825,46505347.0
78,DB00085,PA448428,46504728.0
79,DB00086,PA164754919,46505625.0
80,DB00087,PA164783958,46507379.0
81,DB00088,PA164748093,46507500.0
82,DB00089,PA164745489,46506263.0
83,DB00090,PA164776670,46505612.0
84,DB00091,PA449167,46508198.0
85,DB00092,PA164748040,46505772.0
86,DB00093,PA164744374,46507522.0
87,DB00094,PA451835,46507385.0
88,DB00095,PA164748817,46505252.0
89,DB00097,PA164783947,46506863.0
90,DB00098,PA164743704,46506920.0
91,DB00099,PA449626,46505833.0
92,DB00100,PA164744952,46508858.0
93,DB00102,PA164749511,46508246.0
94,DB00103,PA164746527,46508538.0
95,DB00104,PA450678,46504600.0
96,DB00105,PA164783990,46507075.0
97,DB00106,PA164754915,46508237.0
98,DB00107,PA450760,46506775.0
99,DB00108,PA164747191,46505849.0
100,DB00109,PA164744517,46506067.0
101,DB00110,PA164748781,46506637.0
102,DB00111,PA164764446,46504469.0
103,DB00112,PA130232992,46504473.0
104,DB00113,PA164746540,46507781.0
105,DB00114,PA164749650,46506428.0
106,DB00115,PA451892,46509031.0
107,DB00116,PA164745110,46504756.0
108,DB00117,PA449882,46507001.0
109,DB00118,PA164754994,46505280.0
110,DB00119,PA164778686,46505692.0
111,DB00120,PA450931,46505708.0
112,DB00121,PA448625,46508694.0
113,DB00122,PA448976,46508132.0
114,DB00123,PA450280,46504770.0
115,DB00125,PA448478,46507180.0
116,DB00126,PA451898,46505070.0
117,DB00127,PA164781199,46507215.0
118,DB00128,PA448494,46507997.0
119,DB00129,PA164783814,46505239.0
120,DB00130,PA10090,46505866.0
121,DB00131,PA164744376,46507628.0
122,DB00132,PA449384,46507620.0
123,DB00133,PA451330,46506450.0
124,DB00134,PA450423,46505750.0
125,DB00135,PA451822,46507885.0
126,DB00136,PA448717,46508162.0
127,DB00137,PA164748318,46508835.0
128,DB00138,PA449176,46506670.0
129,DB00139,PA164747739,46505859.0
130,DB00140,PA451242,46507342.0
131,DB00141,PA164752287,46509139.0
132,DB00142,PA449776,46505816.0
133,DB00143,PA449780,46504598.0
134,DB00144,PA164768860,46505650.0
135,DB00145,PA449789,46508219.0
136,DB00146,PA164745614,46505690.0
137,DB00147,PA164749166,46506282.0
138,DB00148,PA164778930,46504868.0
139,DB00149,PA450197,46507163.0
140,DB00150,PA10323,46508329.0
