,entrez_id,drug_id
0,1022.0,DB05969
2,9290.0,DB09020
3,1806.0,DB03419
6,348.0,DB00635
11,1571.0,DB12007
12,5159.0,DB12874
14,4986.0,DB00327
17,1791.0,DB01005
18,369.0,DB00398
19,5296.0,DB11974
22,10951.0,DB12783
24,495.0,DB00213
29,1576.0,DB00842
35,3350.0,DB04829
36,3537.0,DB03088
37,4137.0,DB14914
44,154.0,DB00866
45,147.0,DB00457
46,778.0,DB12105
52,1131.0,DB00332
53,760.0,DB04242
54,1436.0,DB04849
55,51311.0,DB12303
62,8856.0,DB00255
64,2328.0,DB00864
65,6718.0,DB07447
66,1647.0,DB00997
67,51426.0,DB02709
70,3791.0,DB09078
71,51053.0,DB12551
72,1586.0,DB01026
73,2908.0,DB00834
75,3845.0,DB00480
78,4255.0,DB00291
79,581.0,DB00860
80,79915.0,DB01184
81,785.0,DB00661
84,367.0,DB00648
87,1544.0,DB03322
88,238.0,DB12729
89,1559.0,DB00987
95,59340.0,DB11910
96,5734.0,DB00917
97,4284.0,DB02451
98,3356.0,DB09225
101,1129.0,DB01135
102,6240.0,DB00361
103,2564.0,DB00475
104,203068.0,DB01229
106,5979.0,DB00398
108,3761.0,DB01136
109,6532.0,DB00476
111,5009.0,DB04185
112,7428.0,DB01590
113,153.0,DB00938
115,1565.0,DB00180
117,553.0,DB14642
123,1812.0,DB00420
124,3717.0,DB08877
125,7054.0,DB00120
127,185.0,DB01349
130,5159.0,DB06589
131,5143.0,DB01303
132,2321.0,DB05294
136,3356.0,DB00589
140,2147.0,DB06929
141,1029.0,DB12146
143,116519.0,DB00641
146,7124.0,DB01611
154,5156.0,DB00619
155,7172.0,DB00352
158,6774.0,DB06803
160,3358.0,DB01175
161,5999.0,DB00968
163,3990.0,DB00898
170,1557.0,DB15334
172,3065.0,DB12174
173,90.0,DB12962
175,3094.0,DB00131
176,3269.0,DB01142
178,1909.0,DB06629
181,1813.0,DB06711
182,2950.0,DB13014
183,2569.0,DB00897
187,367.0,DB00591
188,7846.0,DB00643
189,43.0,DB03128
190,1813.0,DB00388
192,5139.0,DB12082
196,1017.0,DB07731
197,2677.0,DB01022
199,1491.0,DB01008
201,3358.0,DB00246
202,1241.0,DB06248
203,6329.0,DB14575
209,4524.0,DB00175
212,5604.0,DB11689
213,1181.0,DB01046
214,1131.0,DB04365
217,2099.0,DB00841
219,10951.0,DB00622
223,5600.0,DB00398
225,2554.0,DB00555
226,79885.0,DB12174
227,5290.0,DB12015
228,1557.0,DB01357
230,5728.0,DB06287
235,875.0,DB00114
240,367.0,DB13946
245,25.0,DB01254
246,7010.0,DB12010
248,1133.0,DB00767
250,1956.0,DB12114
251,1728.0,DB00170
258,6714.0,DB04849
259,759.0,DB01144
260,6523.0,DB15048
261,4780.0,DB14596
262,55111.0,DB13919
265,154.0,DB00598
267,2539.0,DB01015
270,1128.0,DB00986
273,100.0,DB00552
274,6530.0,DB00540
276,763.0,DB00117
279,148.0,DB06153
282,121278.0,DB00574
284,1565.0,DB00863
285,1565.0,DB14060
290,11200.0,DB12008
292,207.0,DB12745
294,95.0,DB06151
296,1128.0,DB00767
299,4200.0,DB01677
301,1803.0,DB11992
303,3791.0,DB00398
304,1234.0,DB04835
305,9759.0,DB12174
307,3706.0,DB03401
312,1024.0,DB11694
313,836.0,DB00482
315,3577.0,DB12614
317,10919.0,DB00645
321,3791.0,DB01268
322,136.0,DB08770
328,54681.0,DB11682
329,7421.0,DB03285
332,1813.0,DB06144
334,5465.0,DB07080
337,2321.0,DB09079
338,4843.0,DB03100
340,1813.0,DB00409
342,5465.0,DB02709
348,153.0,DB01580
349,116443.0,DB11725
350,5294.0,DB05552
352,4507.0,DB02282
353,1803.0,DB04876
354,1361.0,DB12099
355,2908.0,DB01222
356,4058.0,DB06589
358,2539.0,DB05107
360,25.0,DB06589
361,1196.0,DB01044
362,81027.0,DB01229
363,6607.0,DB07352
365,1544.0,DB13790
374,216.0,DB00446
375,3028.0,DB02375
377,6331.0,DB01320
378,8503.0,DB11663
380,7421.0,DB01064
381,3480.0,DB12267
388,55879.0,DB00818
390,1565.0,DB00726
391,2556.0,DB12238
393,5742.0,DB00870
395,2558.0,DB00475
396,7054.0,DB00422
397,2554.0,DB01068
402,7150.0,DB05482
407,1814.0,DB01577
408,6323.0,DB00243
413,2066.0,DB01267
416,6258.0,DB00523
418,6258.0,DB03756
419,147.0,DB00706
420,3269.0,DB01237
424,1543.0,DB00851
425,5625.0,DB00172
427,10000.0,DB11743
429,4780.0,DB00394
431,627.0,DB06774
433,1557.0,DB00610
440,7124.0,DB12140
446,2567.0,DB00463
447,5290.0,DB11962
