	protein_ac	gene_name	protein_name
0	Q9NUX5	POT1	POTE1_HUMAN
1	Q9NVM4	PRMT7	ANM7_HUMAN
2	P62633	CNBP	CNBP_HUMAN
3	Q99729	HNRNPAB	ROAA_HUMAN
4	O43715	TRIAP1	TRIA1_HUMAN
5	O95817	BAG3	BAG3_HUMAN
6	Q13285	NR5A1	STF1_HUMAN
7	Q9UKM9	RALY	RALY_HUMAN
8	P60174	TPI1	TPIS_HUMAN
9	Q9H0W5	CCDC8	CCDC8_HUMAN
10	P82650	MRPS22	RT22_HUMAN
11	Q99728	BARD1	BARD1_HUMAN
12	P11388	TOP2A	TOP2A_HUMAN
13	P35579	MYH9	MYH9_HUMAN
14	Q6ZMU5	TRIM72	TRI72_HUMAN
15	O15265	ATXN7	ATX7_HUMAN
16	Q16514	TAF12	TAF12_HUMAN
17	P24539	ATP5PB	AT5F1_HUMAN
18	Q99816	TSG101	TS101_HUMAN
19	P38398	BRCA1	BRCA1_HUMAN
20	Q969X6	UTP4	UTP4_HUMAN
21	P21281	ATP6V1B2	VATB2_HUMAN
22	Q9Y487	ATP6V0A2	VPP2_HUMAN
23	P0CG48	UBC	UBC_HUMAN
24	Q9UPW5	AGTPBP1	CBPC1_HUMAN
25	P13639	EEF2	EF2_HUMAN
26	P31943	HNRNPH1	HNRH1_HUMAN
27	O75794	CDC123	CD123_HUMAN
28	Q8IZP0	ABI1	ABI1_HUMAN
29	Q13428	TCOF1	TCOF_HUMAN
30	Q9H0E7	USP44	UBP44_HUMAN
31	P30411	BDKRB2	BKRB2_HUMAN
32	P43250	GRK6	GRK6_HUMAN
33	O43293	DAPK3	DAPK3_HUMAN
34	Q96H55	MYO19	MYO19_HUMAN
35	P06239	LCK	LCK_HUMAN
36	P62993	GRB2	GRB2_HUMAN
37	O75665	OFD1	OFD1_HUMAN
38	P50570	DNM2	DYN2_HUMAN
39	O60260	PRKN	PRKN_HUMAN
40	P51965	UBE2E1	UB2E1_HUMAN
41	O60318	MCM3AP	GANP_HUMAN
42	O94985	CLSTN1	CSTN1_HUMAN
43	P00167	CYB5A	CYB5_HUMAN
44	P08684	CYP3A4	CP3A4_HUMAN
45	P17931	LGALS3	LEG3_HUMAN
46	Q8NEM0	MCPH1	MCPH1_HUMAN
47	P62807	H2BC4	H2B1C_HUMAN
48	Q53EL6	PDCD4	PDCD4_HUMAN
49	P09651	HNRNPA1	ROA1_HUMAN
50	Q14999	CUL7	CUL7_HUMAN
51	P12004	PCNA	PCNA_HUMAN
