protein_ac,gene_name,protein_name,entrez_id
Q07687,DLX2,Homeobox protein DLX-2,1746
Q9Y468,L3MBTL1,Lethal(3)malignant brain tumor-like protein 1,26013
Q5DJT8,CT45A2,Cancer/testis antigen family 45 member A2,728911
Q9NY99,SNTG2,Gamma-2-syntrophin,54221
P51508,ZNF81,Zinc finger protein 81,347344
Q99497,PARK7,Protein/nucleic acid deglycase DJ-1,11315
P01602,IGKV1-5,Immunoglobulin kappa variable 1-5,
P15529,CD46,Membrane cofactor protein,4179
Q96IY4,CPB2,Carboxypeptidase B2,1361
Q8IYW2,CFAP46,Cilia- and flagella-associated protein 46,54777
Q13515,BFSP2,Phakinin,8419
Q8N6D2,RNF182,E3 ubiquitin-protein ligase RNF182,221687
Q9UIV8,SERPINB13,Serpin B13,5275
Q8NET4,RTL9,Retrotransposon Gag-like protein 9,57529
Q9NZT1,CALML5,Calmodulin-like protein 5,51806
P53701,HCCS,Cytochrome c-type heme lyase,3052
Q70EL1,USP54,Inactive ubiquitin carboxyl-terminal hydrolase 54,159195
P62805,H4C1,Histone H4,8370
Q4ADV7,RIC1,RAB6A-GEF complex partner protein 1,57589
Q9NX20,MRPL16,39S ribosomal protein L16,54948
O94818,NOL4,Nucleolar protein 4,8715
Q15459,SF3A1,Splicing factor 3A subunit 1,10291
Q6P3X3,TTC27,Tetratricopeptide repeat protein 27,55622
Q8N865,C7orf31,Uncharacterized protein C7orf31,136895
P04085,PDGFA,Platelet-derived growth factor subunit A,5154
Q86WS4,C12orf40,Uncharacterized protein C12orf40,283461
Q15935,ZNF77,Zinc finger protein 77,58492
Q9H306,MMP27,Matrix metalloproteinase-27,64066
Q15785,TOMM34,Mitochondrial import receptor subunit TOM34,10953
Q9BYC9,MRPL20,39S ribosomal protein L20,55052
P11142,HSPA8,Heat shock cognate 71 kDa protein,3312
A0A1W2PQS6,RPS10-NUDT3,RPS10-NUDT3 readthrough,100529239
Q9NUU7,DDX19A,ATP-dependent RNA helicase DDX19A,55308
Q92888,ARHGEF1,Rho guanine nucleotide exchange factor 1,9138
P57058,HUNK,Hormonally up-regulated neu tumor-associated kinase,30811
Q9HD23,MRS2,Magnesium transporter MRS2 homolog,57380
P62745,RHOB,Rho-related GTP-binding protein RhoB,388
O43653,PSCA,Prostate stem cell antigen,8000
Q8TEP8,CEP192,Centrosomal protein of 192 kDa,55125
Q99941,ATF6B,Cyclic AMP-dependent transcription factor ATF-6 beta,1388
Q92738,USP6NL,USP6 N-terminal-like protein,9712
P52434,POLR2H,DNA-directed RNA polymerases I,5437
Q8IUW5,RELL1,RELT-like protein 1,768211
P05120,SERPINB2,Plasminogen activator inhibitor 2,5055
O43827,ANGPTL7,Angiopoietin-related protein 7,10218
P48549,KCNJ3,G protein-activated inward rectifier potassium channel 1,3760
Q9H078,CLPB,Caseinolytic peptidase B protein homolog,81570
P07951,TPM2,Tropomyosin beta chain,7169
O00160,MYO1F,Unconventional myosin-If,4542
Q9NZV6,MSRB1,Methionine-R-sulfoxide reductase B1,51734
Q03013,GSTM4,Glutathione S-transferase Mu 4,2948
Q96C90,PPP1R14B,Protein phosphatase 1 regulatory subunit 14B,26472
Q96NU0,CNTNAP3B,Contactin-associated protein-like 3B,728577
Q0P6H9,TMEM62,Transmembrane protein 62,80021
Q8IYA7,MKX,Homeobox protein Mohawk,283078
Q59EK9,RUNDC3A,RUN domain-containing protein 3A,10900
O75347,TBCA,Tubulin-specific chaperone A,6902
Q9Y3D8,AK6,Adenylate kinase isoenzyme 6,102157402
O15466,ST8SIA5,Alpha-2,29906
Q8NHS9,SPATA22,Spermatogenesis-associated protein 22,84690
Q9HB90,RRAGC,Ras-related GTP-binding protein C,64121
P09871,C1S,Complement C1s subcomponent,716
Q9NQ79,CRTAC1,Cartilage acidic protein 1,55118
